group,n,actual_default_rate,predicted_default_rate,false_positive_rate,false_negative_rate
21-30,2181,0.21962402567629527,0.2902338376891334,0.1891891891891892,0.35073068893528186
31-40,2105,0.20950118764845604,0.27078384798099764,0.18629807692307693,0.41043083900226757
41-50,1243,0.23491552695092519,0.28640386162510056,0.19663512092534174,0.4212328767123288
51-60,413,0.24455205811138014,0.3341404358353511,0.23397435897435898,0.3564356435643564
61+,58,0.2413793103448276,0.3620689655172414,0.25,0.2857142857142857
