group,n,actual_default_rate,predicted_default_rate,false_positive_rate,false_negative_rate
female,3598,0.21289605336297943,0.26570316842690384,0.1719632768361582,0.3877284595300261
male,2402,0.23355537052456288,0.3172356369691923,0.22596414991852254,0.38324420677361853
